name,logo,web_url,description,High school type,address,phone,email
LMU - University of Munich,https://static.studycheck.de/media/images/institute_logos/rectangle/lmu-muenchen/lmu-muenchen.jpg,,"The LMU is one of the leading universities in Europe with a tradition of over 500 years.With its broad and differentiated subject spectrum, LMU has great potential for innovative basic research and high-quality teaching- be it in the core of the individual disciplines or in the inter- and transdisciplinary combination of various knowledge fields.It is a central task of the university to change structures and framework conditions in such a way that equality between women and men is achieved in all qualification levels and management positions in science and research. The LMU is embedded in a wide international network and cooperates with more than 400Renowned partners from all over the world - at all levels from studying to research to administration.The regional focuses of their internationalization form Europe, North America and Asia.",State University,LMU - Uni München Geschwister-Scholl-Platz 1 80539 München,,
Munich School of Politics,https://www.studycheck.de/media/images/institute_logos/rectangle/hfpm/logo_hfp.JPG,,,State university,Hochschule für Politik München Richard-Wagner-Str. 1 80333 München,,
Saxony-Anhalt Police University of Applied Sciences,https://static.studycheck.de/media/images/institute_logos/rectangle/fhpolizei-sa/fhpolizei-sa.jpg,,"The University of Applied Sciences Police sees itself as a modern educational, research and service facility, which guarantees the training at citizen-based police officers in the state of Saxony-Anhalt.In this context, the University of Applied Sciences Police serves to maintain and develop police -related sciences through teaching, studying, further education and research.The study, as an investment in the future, will be organized by constant review, coordination and updating of all specialist content, especially with regard to your practicality.The university of applied sciences ensures training at a high level and works with various police colleges in the Federal Republic and at the international level.",State university,Fachhochschule Polizei Sachsen-Anhalt Schmidtmannstraße 86 06449 Aschersleben,,
University of Applied Sciences Vorarlberg,https://static.studycheck.de/media/images/institute_logos/rectangle/fh-vorarlberg/fh-vorarlberg_rectangle.png,http://www.fhv.at?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The University of Applied Sciences Vorarlberg - University of Applied Sciences (FHV) started in 1994 with one of the first university courses in Austria and is a pioneer of the Austrian universities of applied sciences. The FHV and its courses are accredited by the AQ Austria = agency for quality assurance and accreditation Austria.This accreditation confirms the fulfillment of recognized university quality standards. The FHV is Vorarlberg's largest university.The helicopter of the university is the state of Vorarlberg.Your employees: Inside, knowledge and skills create and skills in studying, research and further education.In the areas of economy, technology, design as well as social and health, bachelor and master's programs are offered as full-time and part-time forms of study as well as as a dual model.",State university,FH Vorarlberg Hochschulstraße 1 6850 Dornbirn,+43 (0)5572 792,info@fhv.at
Dusseldorf Business School,https://static.studycheck.de/media/images/institute_logos/rectangle/dbs/dbs.jpg,,,,Düsseldorf Business School Universitätsstr. 1 40225 Düsseldorf,,
Federal Ministry of Defence,https://static.studycheck.de/media/images/institute_logos/rectangle/landesverteidigung/bm_landesverteidigung_rectangle.png,,,State university,Bundesministerium für Landesverteidigung Roßauer Lände 1 1090 Wien,,
University of the Federal Armed Forces Hamburg,https://static.studycheck.de/media/images/institute_logos/rectangle/hsu-hamburg/hsu-hamburg.jpg,,"The Most Obvious External Characteristic of a Bundeswehr University is the Special Study Organization.To Academic Year is divided into trimesters, i.e.Inte Three Lecture Blocks of Twelve Weeks Each, Followed by only one Lecture-Free Period per year.All Courses at the Bundeswehr University Hamburg Are Designed as Intensive Courses In which Students Can Earn Up To 75 Credit Points by Academic Year.The Course is Therefore Considerably Shorter than Public Universities.Every student who has been earned the 180 credit point of the bachelor's degree in the 7th (or at the latest in the 8th) Trimester and achieved the required minimum grade automatically receives a place on the master's course.",,Uni der Bundeswehr Hamburg Holstenhofweg 85 22043 Hamburg,,
University of the Arts Berlin,https://static.studycheck.de/media/images/institute_logos/rectangle/udk-berlin/udk-berlin.jpg,,"The Udk Berlin is one of the Largest, Most various and most traditional art universities in the world.The Range of Courses Offered by the Faculties of Fine Arts, Design, Music and Performing Arts As Well As The Central Institute for Continuing Education / Berlin Career College Covers The Entire Spectrum of the Arts and Related Sciences in Over 60 Courses.With the right to Award Doctorates and Habilitation, The Udk Berlin is one of the few art universities in Germany with University Status.Art, Music and Theater Teachers are trained at the UDK Berlin.",,Universität der Künste Berlin Hardenbergstraße 33 10623 Berlin,,
HFK - University of the Arts Bremen,https://static.studycheck.de/media/images/institute_logos/rectangle/hfk-bremen/hfk_bremen_rectangle.png,,"The Bremen University of the Arts (HFK) is a Place of Education and Culture.Practice, Teaching and Research at the HFK Combine Art, Music, Design and Science.The HFK Combines a Broad Artistic and Educational Spectrum, embedded in the Current Scientific Discourse.IT is International Oriented and Regionally Anchored.The HFK So Encourages Students to Further Develop their Creative personality in intercultural dialogue and to use the HfK's Cooperations and Networks for This Purpose.",,HFK - Hochschule für Künste Bremen Am Speicher XI 8 28217 Bremen,,
University of Church Music Tübingen,https://static.studycheck.de/media/images/institute_logos/rectangle/hfk-tuebingen/hfm-tuebingen.jpg,,"The Tübingen University of Church Music of the Evangelical Church of Württemberg Emerged in 1998 from the University of Church Music in Esslingen am Neckar, which Had Already Been Founded in 1945 as a Church Music School.At this university, Choir Directors, Organts and Cantors Were trained Primarily for Church Service.The training Usually Concluded with the Church Music A-Exam, The B-Exam and other Corresponding qualifications.The Esslingen Church Music School was elevated to a University of Church Music in 1989. In 1995 it was the first university in Germany to include the subject of popular music in the canon of church music studies.It moved to Tübingen in the autumn of 1998 and has been a state-recognized university under Church Sponsorship Since 2009., Organ improvisation, choir management and church popular music offered.From autumn 2012, the current diploma and installation courses are to be converted to newly designed bachelor and master's programs.",Church university,Hochschule für Kirchenmusik Tübingen Gartenstraße 12 72074 Tübingen,,
Weihenstephan-Triesdorf University of Applied Sciences,https://static.studycheck.de/media/images/institute_logos/rectangle/hswt/rectangle_hswt.png,https://www.hswt.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"We are one of the leading national and international universities for applied life sciences and green engineering.Excellent Teaching with Strong Practical Focus and Applied Research Form the Core Of Our Self-Image. Notever another university in Germany has a comparable spectrum that is thus consistently geared towards green engineering.In the seven faculties on our two campus, we cover ecological, technical and economic issues in 19 Bachelor and 13 master's programs (including 14 dual courses).At the two locations Weihenstephan in Freising and Triesdorf, we offer our students extensive, practical expertise in teaching and research in these subject areas: Agricultural Science Documentation & Technology Nutrition & Food Climate & Environmental Protection Ecology & Environmental Planning Management",State university,Hochschule Weihenstephan-Triesdorf Am Hofgarten 4 85354 Freising,+49 (0)8161 71-0,
