university,program,rating,period_of_study,Start_of_studies,Diploma,language,Total_costs,location,program_link
LMU - University of Munich,Egyptology and Coptology (BA),4.0,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/aegyptologie/lmu-muenchen-4781
LMU - University of Munich,Egyptology and Coptology (MA),4.2,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/aegyptologie/lmu-muenchen-10601
LMU - University of Munich,Albanology (MA),1.1,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/sprachwissenschaft/lmu-muenchen-25012
LMU - University of Munich,,,,,,,,,https://www.studycheck.de/studium/literaturwissenschaft/lmu-muenchen-2435
LMU - University of Munich,General and Comparative Literature (MA),3.5,4 semesters,Summer & winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/literaturwissenschaft/lmu-muenchen-5835
LMU - University of Munich,Ancient Orient (BA),3.8,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/alter-orient/lmu-muenchen-4797
LMU - University of Munich,Ancient Near Eastern Studies (MA),,4 semesters,Winter semester,Master of Arts,English,,Munich,https://www.studycheck.de/studium/alter-orient/lmu-muenchen-10665
LMU - University of Munich,"American History, Culture and Society (MA)",4.0,4 semesters,Winter semester,Master of Arts,English,,Munich,https://www.studycheck.de/studium/amerikanistik-american-studies/lmu-muenchen-10611
LMU - University of Munich,English Studies (BA),3.7,6 semesters,Summer & winter semester,Bachelor of Arts,German English,,Munich,https://www.studycheck.de/studium/anglistik/lmu-muenchen-15706
LMU - University of Munich,Ancient Philosophy (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/philosophie/lmu-muenchen-19795
LMU - University of Munich,Antiquity and Orient (BA),4.3,6 semesters,Winter semester,Bachelor of Arts,German English,,Munich,https://www.studycheck.de/studium/antike-kulturen/lmu-muenchen-23412
LMU - University of Munich,Archaeology: Europe and the Near East (BA),4.0,,Winter semester,Bachelor of Arts,German English,,Munich,https://www.studycheck.de/studium/archaeologien-europas/lmu-muenchen-16990
LMU - University of Munich,Astrophysics (M.Sc.),4.0,,,,,,,https://www.studycheck.de/studium/astrophysik/lmu-muenchen-675
LMU - University of Munich,"Beratungslehrkraft (Staatsexamen)
                                                            Lehramt",,,,,,,,https://www.studycheck.de/studium/beratungslehrkraft/lmu-muenchen-26631
LMU - University of Munich,Business Research (Master),3.6,4 semesters,Summer & winter semester,master,English,,Munich,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/lmu-muenchen-10819
LMU - University of Munich,Business Administration (B.Sc.),3.8,,Winter semester,Bachelor of Science,German English,,Munich,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/lmu-muenchen-12070
LMU - University of Munich,Business Administration (M.Sc.),3.9,4 semesters,Winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/lmu-muenchen-7850
LMU - University of Munich,Biochemistry (M.Sc.),3.8,4 semesters,Summer & winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/biochemie/lmu-muenchen-5836
LMU - University of Munich,Bioinformatics (B.Sc.),4.1,6 semesters,Winter semester,Bachelor of Science,German English,,Munich,https://www.studycheck.de/studium/bioinformatik/lmu-muenchen-12595
LMU - University of Munich,Bioinformatik (M.Sc.),,,,,,,,https://www.studycheck.de/studium/bioinformatik/lmu-muenchen-11007
LMU - University of Munich,Biology (B.Sc.),3.5,,Winter semester,Bachelor of Science,German English,,Munich,https://www.studycheck.de/studium/biologie/lmu-muenchen-14837
